1911  5   -0.3660
1911  6   -0.1279
1911  7   -0.3099
1911  8   -0.2024
1911  9   -0.0895
1911 10   -0.1238
1911 11   -0.1598
1911 12   -0.2751
1912  1   -0.4970
1912  2    0.1281
1912  3   -0.9372
1912  4   -0.2499
1912  5   -0.1485
1912  6   -0.0913
1912  7   -0.4609
1912  8   -0.7328
1912  9   -0.8360
1912 10   -1.1164
1912 11   -0.5416
1912 12   -0.6015
1913  1   -0.4378
1913  2   -0.8818
1913  3   -0.5996
1913  4   -0.3136
1913  5   -0.4222
1913  6   -0.3576
1913  7   -0.3289
1913  8   -0.1181
1913  9   -0.2037
1913 10   -0.3770
1913 11    0.3839
1913 12    0.7490
1914  1    1.1327
1914  2    0.1976
1914  3   -0.0334
1914  4   -0.2627
1914  5    0.1837
1914  6   -0.0049
1914  7   -0.2435
1914  8   -0.1700
1914  9   -0.1113
1914 10   -0.0029
1914 11   -0.3217
1914 12   -0.3588
1915  1   -0.1858
1915  2    0.1801
1915  3   -0.1457
1915  4    0.2947
1915  5    0.1476
1915  6   -0.0132
1915  7   -0.0041
1915  8   -0.0736
1915  9   -0.1340
1915 10   -0.5428
1915 11    0.3664
1915 12    0.5362
1916  1    0.0229
1916  2   -0.1225
1916  3   -0.5508
1916  4   -0.1746
1916  5   -0.2108
1916  6   -0.3330
1916  7   -0.0103
1916  8   -0.1075
1916  9   -0.2954
1916 10   -0.2090
1916 11   -0.3218
1916 12   -1.2814
1917  1   -0.4778
1917  2   -0.6768
1917  3   -0.7388
1917  4   -0.3834
1917  5   -0.5355
1917  6   -0.3493
1917  7   -0.1026
1917  8   -0.1399
1917  9   -0.0681
1917 10   -0.6287
1917 11    0.3438
1917 12   -1.4653
1918  1   -0.1853
1918  2   -0.3084
1918  3   -0.0768
1918  4   -0.6863
1918  5   -0.5575
1918  6   -0.3040
1918  7   -0.1705
1918  8   -0.1279
1918  9   -0.0804
1918 10    0.2029
1918 11   -0.2694
1918 12   -0.8703
1919  1   -0.7613
1919  2   -0.1133
1919  3   -0.5828
1919  4   -0.0057
1919  5   -0.5247
1919  6   -0.3633
1919  7   -0.0025
1919  8    0.0705
1919  9    0.0886
1919 10   -0.2153
1919 11   -0.7993
1919 12   -0.5395
1920  1    0.2926
1920  2   -0.4511
1920  3    0.3007
1920  4   -0.2242
1920  5   -0.0267
1920  6   -0.2466
1920  7    0.0643
1920  8   -0.0210
1920  9   -0.1731
1920 10   -0.2504
1920 11   -0.5651
1920 12   -1.0059
1921  1    0.7951
1921  2    0.0951
1921  3    0.1068
1921  4    0.1489
1921  5   -0.0332
1921  6    0.1489
1921  7    0.2929
1921  8   -0.1111
1921  9   -0.0691
1921 10    0.1072
1921 11   -0.3702
1921 12    0.1946
1922  1   -0.7222
1922  2   -0.6440
1922  3    0.0910
1922  4   -0.0043
1922  5   -0.0570
1922  6   -0.0095
1922  7   -0.0503
1922  8   -0.0888
1922  9   -0.1684
1922 10   -0.0852
1922 11    0.1283
1922 12    0.1966
1923  1    0.0457
1923  2   -0.8055
1923  3   -0.3625
1923  4   -0.9034
1923  5   -0.3266
1923  6   -0.0353
1923  7   -0.1973
1923  8   -0.0710
1923  9   -0.0241
1923 10    0.3190
1923 11    0.5926
1923 12    0.4081
1924  1   -0.4949
1924  2   -0.1569
1924  3    0.0471
1924  4   -0.3245
1924  5   -0.1195
1924  6    0.0260
1924  7    0.0266
1924  8    0.0130
1924  9    0.1152
1924 10    0.0813
1924 11    0.5006
1924 12   -0.2816
1925  1   -0.2254
1925  2   -0.3780
1925  3    0.1776
1925  4    0.2877
1925  5   -0.0262
1925  6   -0.1639
1925  7   -0.0723
1925  8    0.0356
1925  9    0.3027
1925 10   -0.1120
1925 11    0.4694
1925 12    0.8690
1926  1    0.9338
1926  2    0.6321
1926  3    0.6171
1926  4   -0.3747
1926  5   -0.0989
1926  6   -0.1027
1926  7   -0.1189
1926  8    0.0643
1926  9    0.0548
1926 10    0.2013
1926 11    0.2451
1926 12   -0.3140
1927  1   -0.4218
1927  2   -0.1621
1927  3   -0.5423
1927  4   -0.3131
1927  5   -0.0607
1927  6    0.0470
1927  7    0.2310
1927  8   -0.0645
1927  9    0.4118
1927 10    0.6744
1927 11    0.1988
1927 12   -0.7470
1928  1    0.4386
1928  2    0.0712
1928  3   -0.4893
1928  4   -0.4364
1928  5    0.0843
1928  6   -0.1874
1928  7   -0.0007
1928  8   -0.0357
1928  9   -0.0176
1928 10    0.1359
1928 11    0.3291
1928 12    0.1519
1929  1   -1.1408
1929  2   -1.5785
1929  3    0.0874
1929  4   -0.1250
1929  5   -0.1084
1929  6   -0.2891
1929  7   -0.2410
1929  8   -0.0413
1929  9   -0.0843
1929 10    0.2475
1929 11    0.2492
1929 12   -1.5302
1930  1   -0.6749
1930  2   -0.1207
1930  3    0.4624
1930  4   -0.1772
1930  5   -0.1973
1930  6   -0.0894
1930  7    0.1691
1930  8    0.2440
1930  9   -0.1037
1930 10    0.0496
1930 11    0.5845
1930 12    0.2329
1931  1    0.2220
1931  2   -0.9086
1931  3    0.1319
1931  4   -0.1679
1931  5   -0.2295
1931  6    0.3165
1931  7    0.4649
1931  8    0.4136
1931  9    0.4891
1931 10    0.6766
1931 11    0.2937
